Date,Ticker,Open,Close,Adj Close,High,Low,Volume,Daily_Return,Log_Return,Rolling_Volatility_20d,Market_Cap,P/E_Ratio,Beta,Sector,Industry,Market_Phase,Post_ChatGPT
2022-01-03 00:00:00,AMD,145.13999938964844,150.24000549316406,150.24000549316406,151.64999389648438,145.02000427246094,59396600.0,,,,250000000000.0,21.44041571543998,1.8,Semiconductors,Semiconductor Design,1,0
2022-01-03 00:00:00,AVGO,66.63200378417969,66.33200073242188,66.33200073242188,67.16999816894531,66.12200164794922,22591000.0,,,,600000000000.0,34.74450012230426,1.4,Semiconductors,Semiconductor Solutions,1,0
2022-01-03 00:00:00,INTC,51.650001525878906,53.209999084472656,53.209999084472656,53.22999954223633,51.599998474121094,33857600.0,,,,150000000000.0,21.95368934768135,1.2,Technology,CPU Manufacturing,1,0
2022-01-03 00:00:00,MSFT,335.3500061035156,334.75,334.75,338.0,329.7799987792969,,,,,3000000000000.0,29.073930836473416,0.9,Technology,Software & Cloud,1,0
2022-01-03 00:00:00,MU,93.91000366210938,95.75,95.75,95.83999633789062,93.4800033569336,18705500.0,,,,140000000000.0,10.78505618320774,1.7,Semiconductors,Memory Chips,1,0
2022-01-03 00:00:00,NVDA,29.815000534057617,30.121000289916992,30.121000289916992,30.711000442504883,29.78499984741211,391547000.0,,,,2500000000000.0,105.40261296930184,1.6,Semiconductors,GPU Manufacturing,1,0
2022-01-03 00:00:00,QCOM,182.91000366210938,186.2100067138672,186.2100067138672,186.8800048828125,182.24000549316406,,,,,180000000000.0,21.746606032768682,1.3,Semiconductors,Wireless Technology,1,0
2022-01-03 00:00:00,QQQ,399.04998779296875,401.67999267578125,401.67999267578125,401.94000244140625,396.8800048828125,40575900.0,,,,200000000000.0,23.360267675414416,1.1,ETF,Technology ETF,1,0
2022-01-03 00:00:00,SMCI,4.460999965667725,4.561999797821045,4.561999797821045,4.561999797821045,4.420000076293945,,,,,60000000000.0,25.74646662437992,2.0,Technology,Server Solutions,1,0
2022/01/03,SOXX,181.99000549316406,184.36666870117188,184.36666870117188,184.54666137695312,181.27333068847656,1699800.0,,,,10000000000.0,23.36781844917342,1.5,ETF,Semiconductor ETF,1,0
2022-01-03 00:00:00,SPY,476.29998779296875,477.7099914550781,477.7099914550781,477.8500061035156,473.8500061035156,72668200.0,,,,400000000000.0,,1.0,ETF,Broad Market,1,0
2022-01-04 00:00:00,AMD,151.00999450683594,144.4199981689453,144.4199981689453,152.4199981689453,140.6999969482422,80200500.0,-3.873806650308964,-0.03950834367818823,,240315483374.2276,76.32305354045886,1.8,Semiconductors,Semiconductor Design,1,0
2022-01-04 00:00:00,AVGO,66.28800201416016,67.09200286865234,67.09200286865234,67.21900177001953,65.7229995727539,21103000.0,1.1457548812620066,0.011392408195893228,,606874529287.572,28.12658543674945,1.4,Semiconductors,Semiconductor Solutions,1,0
2022-01-04 00:00:00,INTC,53.56999969482422,53.13999938964844,53.13999938964844,53.939998626708984,52.650001525878906,45681400.0,-0.13155364786436863,-0.001316402556411601,,149802669528.20346,15.44864876875023,1.2,Semiconductors,CPU Manufacturing,1,0
2022-01-04 00:00:00,MSFT,334.8299865722656,329.010009765625,329.010009765625,335.20001220703125,326.1199951171875,32674300.0,-1.7147095547050073,-0.01729580944920659,,2948558713358.8496,29.349904346058075,0.9,technology,Software & Cloud,1,0
2022-01-04 00:00:00,MU,95.5999984741211,96.33999633789062,96.33999633789062,96.58999633789062,93.54000091552734,19725000.0,0.6161841648988142,0.006142935128972932,,140862657830.85834,18.513376702761278,1.7,Semiconductors,Memory Chips,1,0
2022-01-04 00:00:00,NVDA,30.277000427246094,29.290000915527344,29.290000915527344,30.468000411987305,28.349000930786133,527154000.0,-2.7588704438471945,-0.02797642043987773,,2431028238903.8203,,1.6,Semiconductors,GPU Manufacturing,1,0
2022-01-04 00:00:00,QCOM,187.0,187.22999572753906,187.22999572753906,188.92999267578125,181.00999450683594,8484200.0,0.5477627285837672,0.0054626796457201195,,180985972911.45078,20.724990649163,1.3,Semiconductors,Wireless Technology,1,0
2022-01-04 00:00:00,QQQ,402.239990234375,396.4700012207031,396.4700012207031,402.2799987792969,393.2900085449219,58027200.0,-1.2970502763585245,-0.013055354244045537,,197405899447.28296,24.737802804221886,1.1,ETF,Technology ETF,1,0
2022-01-04 00:00:00,SMCI,4.669000148773193,4.714000225067139,4.714000225067139,4.752999782562256,4.650000095367432,,3.331881498957845,0.032775772714203184,,61999128899.37471,29.395737723419856,2.0,Technology,Server Solutions,1,0
2022-01-04 00:00:00,SOXX,185.18666076660156,183.8000030517578,183.8000030517578,186.33999633789062,179.3733367919922,3504600.0,-0.30735796953219596,-0.003078312842351609,,9969264203.04678,24.600728232726695,1.5,ETF,Semiconductor ETF,1,0
2022-01-04 00:00:00,SPY,479.2200012207031,477.54998779296875,477.54998779296875,479.9800109863281,475.5799865722656,71178700.0,-0.03349389063896924,-0.00033499501095328297,,,23.203410593437233,1.0,ETF,Broad Market,1,0
2022-01-05 00:00:00,AMD,142.82000732421875,136.14999389648438,136.14999389648438,143.75999450683594,135.2899932861328,,-5.726356721585413,-0.058968534053937004,,226554161539.01703,47.82299086618595,1.8,Semiconductors,Semiconductor Design,1,0
2022-01-05 00:00:00,AVGO,67.12100219726562,64.30000305175781,64.30000305175781,67.12100219726562,64.20099639892578,34961000.0,-4.161449498475244,-0.04250517588468933,,581619752232.1604,31.040251803537398,1.4,Semiconductors,Semiconductor Solutions,1,0
